i,archivo,busqueda,categoria_web,ciudad,clase,cp,direccion,latitud,longitud,nombre,subclase
17,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44619_cuidados personales.csv,PALENCIA,dentistas: odontologos y estomatologos, ,44619,,,0,0,clinica odontologica aragon - gracia,cuidadospersonales
23,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44512_frutossecos.csv,PALENCIA,vending, ,44512,,,0,0,mar sl,frutossecos
26,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,curieses,suelosceramicos
27,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion alejandro rodriguez,suelosceramicos
28,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion jesus,suelosceramicos
30,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suelosceramicos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion viuda de melquiades,suelosceramicos
56,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,abogados, ,7213,,,0,0,despacho de abogados julia mª munoz - guillermo sanchez,pensiones
67,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,bancos y cajas de ahorros,palencia,7213,,,0,0,ibercaja,pensiones
71,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,seguros: entidades,palencia,7213,,,0,0,la alianza espanola de seguros,pensiones
72,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,abogados,palencia,7213,,,0,0,legalitas,pensiones
73,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,abogados, ,7213,,,0,0,luis romero abogados,pensiones
76,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,seguros: entidades, ,7213,,,0,0,mapfre,pensiones
82,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7213_pensiones.csv,PALENCIA,seguros: entidades, ,7213,,,0,0,seguros mapfre,pensiones
91,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,centros comerciales y grandes almacenes, ,44522,,,0,0,hipercor,
99,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescados: mayoristas,palencia,44522,34001,"pl. abastos, s",0,0,pescaderia paqui,
101,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescaderias,palencia,44522,34001,"pl. abastos, s",0,0,pescados gonzalo,
102,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescaderias,palencia,44522,34001,"pl. abastos, 4",0,0,pescados lola,
105,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44522.csv,PALENCIA,pescaderias,palencia,44522,34001,"pl. abastos, s",0,0,triana,
127,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_lapidas.csv,PALENCIA,funerarias: servicios, ,45399,,,0,0,funeraria virgen del milagro,lapidas
164,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44812.csv,PALENCIA,boutiques de senora,palencia,44812,34001,"mayor principal, s",0,0,noelia y magali s.l.,
177,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,almacenes frigorificos, ,44313,,,0,0,codisa,camaras
178,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,centros comerciales y grandes almacenes, ,44313,,,0,0,el corte ingles,camaras
181,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,centros comerciales y grandes almacenes, ,44313,,,0,0,hipercor,camaras
184,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44313_camaras.csv,PALENCIA,seguridad y vigilancia: empresas, ,44313,,,0,0,seguridad integral secoex s.a.,camaras
199,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_herramientas.csv,PALENCIA,hidraulica y neumatica: maquinas y equipos,palencia,44411,,,0,0,beco,herramientas
209,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_herramientas.csv,PALENCIA,maquinas-herramienta, ,44411,,,0,0,suministros industriales vallcal s.l.,herramientas
229,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,aceitunas y variantes: establecimientos,palencia,44511,34001,"pl. abastos, 28",0,0,aceitunas josango c.b.,tiendasdecomestibles
262,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,centros comerciales y grandes almacenes, ,44511,,,0,0,el corte ingles,tiendasdecomestibles
266,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,fruterias,palencia,44511,34001,"pl. abastos, 21",0,0,esther sanchez rojo,tiendasdecomestibles
273,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_tiendas de comestibles.csv,PALENCIA,centros comerciales y grandes almacenes, ,44511,,,0,0,hipercor,tiendasdecomestibles
323,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45211.csv,PALENCIA,centros comerciales y grandes almacenes, ,45211,,,0,0,el corte ingles,
325,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45211.csv,PALENCIA,centros comerciales y grandes almacenes, ,45211,,,0,0,hipercor,
348,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,ebanisterias, ,44211,,,0,0,maivan ebanistas s.l.,
350,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,"construccion, materiales: almacenes", ,44211,,,0,0,materiales de construccion alejandro rodriguez,
367,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,muebles: establecimientos, ,44211,,,0,0,palacio de la moda,
369,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,muebles: establecimientos, ,44211,,,0,0,polque,
371,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44211.csv,PALENCIA,muebles: establecimientos,palencia,44211,34004,"ctra. madrid, km 3",0,0,rastro remar,
378,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7223.csv,PALENCIA,comidas preparadas y por encargo, ,7223,,,0,0,alcesa,
388,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_ferreteria.csv,PALENCIA,"construccion, materiales: almacenes", ,44411,,,0,0,curieses,ferreteria
397,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_ferreteria.csv,PALENCIA,"construccion, materiales: almacenes", ,44411,,,0,0,materiales de construccion viuda de melquiades,ferreteria
400,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_suministrosdefontaneria.csv,PALENCIA,ventilacion y climatizacion industrial, ,44419,,,0,0,novatub s.l.,suministrosdefontaneria
412,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44311_tiendaselectrodomesticos.csv,PALENCIA,"construccion, materiales: almacenes", ,44311,,,0,0,materiales de construccion alejandro rodriguez,tiendaselectrodomesticos
430,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44111.csv,PALENCIA,automoviles: concesionarios,palencia,44111,34004,"los yeseros (pol. ind. san antolin), 10",0,0,fermi consulting s.l.,
434,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44111.csv,PALENCIA,automoviles: concesionarios,palencia,44111,34004,"cno. yeseros, 5",0,0,mirauto,
440,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44111.csv,PALENCIA,talleres mecanicos para automoviles, ,44111,,,0,0,talleres raul,
444,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44429_estufascocinadeleña.csv,PALENCIA,chimeneas: establecimientos,palencia,44429,,,0,0,casacampo,estufascocinadelena
446,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44429_estufascocinadeleña.csv,PALENCIA,"construccion, materiales: almacenes", ,44429,,,0,0,materiales de construccion alejandro rodriguez,estufascocinadelena
471,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,gasoleo, ,44132,,,0,0,hidifer s.l.,
475,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,neumaticos: venta y reparacion, ,44132,,,0,0,neumaticos y talleres javi,
478,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,camiones: concesionarios y agencias, ,44132,,,0,0,pargroup,
479,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,recauchutados,palencia,44132,34004,"los plateros (pol. ind. san antolin), 5",0,0,recacor recauchutados cordoba,
481,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,talleres mecanicos para automoviles, ,44132,,,0,0,talleres carmelo e hijos s.l.,
486,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,talleres mecanicos para automoviles, ,44132,,,0,0,talleres hermanos sanchez acero s.l.,
490,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,talleres mecanicos para automoviles, ,44132,,,0,0,talleres raul,
491,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44132.csv,PALENCIA,neumaticos: fabricantes y mayoristas, ,44132,,,0,0,vianeumaticos.com,
523,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7224.csv,PALENCIA,cafes-bares,palencia,7224,34004,"p.º la julia, s",0,0,cibaria,
569,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7224.csv,PALENCIA,cafeterias,palencia,7224,34003,"est. renfe, s",0,0,medas,
597,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_pancartas.csv,PALENCIA,banderas y mastiles, ,45399,,,0,0,banderas aap,pancartas
617,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,antiguedades, ,45399,,,0,0,art&antiguitats riera,objetosreligiosos
620,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,articulos religiosos,la soledad,45399,41500,"24 (pol. ind. la red), s",0,0,artesacro san fernando,objetosreligiosos
642,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,articulos religiosos, ,45399,,,0,0,casa rodriguez,objetosreligiosos
671,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,forja artistica,ambrosero,45399,39791,"carretera ambrosero gama, 1, , km 182",0,0,forjas artisticas,objetosreligiosos
672,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,forja artistica, ,45399,,,0,0,forjas artisticas,objetosreligiosos
673,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,restauracion de obras de arte y antiguedades, ,45399,,,0,0,foryvict restauraciones de arte,objetosreligiosos
715,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,ciencias ocultas, ,45399,,,0,0,merlin tu tienda magica,objetosreligiosos
723,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,antiguedades,najera,45399,26300,"calle los alamos, 5, 5-6",0,0,pedro balanza restauracion,objetosreligiosos
749,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_objetosreligiosos.csv,PALENCIA,restauracion de obras de arte y antiguedades, ,45399,,,0,0,viridian restauraciones,objetosreligiosos
759,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,construccion: maquinas y equipos, ,45331,,,0,0,cydima,
762,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,automoviles y furgonetas: alquiler, ,45331,,,0,0,furgonetas demetrio,
763,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,gasoleo, ,45331,,,0,0,hidifer s.l.,
764,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,carretillas elevadoras: venta y alquiler, ,45331,,,0,0,hispaman,
768,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,vending, ,45331,,,0,0,mar sl,
769,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,"construccion, materiales: almacenes", ,45331,,,0,0,materiales de construccion jesus,
771,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,estanterias: fabricantes y mayoristas, ,45331,,,0,0,moviestan,
774,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,instrumentos musicales: venta y alquiler, ,45331,,,0,0,musicarium,
776,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,agricultura y silvicultura: maquinas y equipos, ,45331,,,0,0,ovlac,
777,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,camiones: concesionarios y agencias, ,45331,,,0,0,pargroup,
778,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,instrumentos musicales: venta y alquiler, ,45331,,,0,0,pianisimo,
779,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,palets: fabricantes y mayoristas, ,45331,,,0,0,reciclados romaiz s.l.,
783,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,maquinas-herramienta, ,45331,,,0,0,suministros industriales vallcal s.l.,
784,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,agricultura y silvicultura: maquinas y equipos, ,45331,,,0,0,taller mecanico miguel escudero,
786,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,talleres mecanicos para automoviles, ,45331,,,0,0,talleres hermanos sanchez acero s.l.,
788,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45331.csv,PALENCIA,acumuladores electricos: fabricantes y mayoristas, ,45331,,,0,0,tecnibat group,
821,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45299_repuestosdecasa.csv,PALENCIA,puertas automaticas, ,45299,,,0,0,benadoor s.l.,repuestosdecasa
825,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45299_repuestosdecasa.csv,PALENCIA,gasoleo, ,45299,,,0,0,hidifer s.l.,repuestosdecasa
826,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45299_repuestosdecasa.csv,PALENCIA,"construccion, materiales: almacenes", ,45299,,,0,0,materiales de construccion alejandro rodriguez,repuestosdecasa
828,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,envases de plastico, ,44419,,,0,0,arcas envases plasticos,cristales
829,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,cristalerias, ,44419,,,0,0,arte vidrio,cristales
831,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,reformas en general, ,44419,,,0,0,buenos dias buenas noches,cristales
841,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,puertas automaticas, ,44419,,,0,0,hormann espana,cristales
842,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,plastico articulos: fabricantes y mayoristas, ,44419,,,0,0,metacrilatoonline,cristales
844,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,plastico articulos: fabricantes y mayoristas, ,44419,,,0,0,plasticos ferplast s.l.,cristales
845,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_cristales.csv,PALENCIA,reparaciones del hogar, ,44419,,,0,0,reparalia,cristales
855,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44312.csv,PALENCIA,informatica: servicio integral, ,44312,,,0,0,atinor informatica,
892,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45291.csv,PALENCIA,centros comerciales y grandes almacenes, ,45291,,,0,0,el corte ingles,
894,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45291.csv,PALENCIA,centros comerciales y grandes almacenes, ,45291,,,0,0,hipercor,
901,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44619_homeopatia.csv,PALENCIA,farmacias, ,44619,,,0,0,farmacia ortopedia pablo coupeau,homeopatia
903,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_7222.csv,PALENCIA,comidas preparadas y por encargo, ,7222,,,0,0,alcesa,
914,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44523.csv,PALENCIA,fruterias,palencia,44523,34001,"pl. abastos, 21",0,0,esther sanchez rojo,
917,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44523.csv,PALENCIA,centros comerciales y grandes almacenes, ,44523,,,0,0,hipercor,
923,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44221.csv,PALENCIA,impermeabilizaciones, ,44221,,,0,0,lotum s.a.,
929,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,madera: almacenes, ,44411,,,0,0,costina,madera
941,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,lena y carbon, ,44411,,,0,0,j.l. alvarez,madera
944,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,ebanisterias, ,44411,,,0,0,maivan ebanistas s.l.,madera
947,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,"construccion, materiales: almacenes", ,44411,,,0,0,materiales de construccion alejandro rodriguez,madera
948,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,"construccion, materiales: almacenes", ,44411,,,0,0,materiales de construccion jesus,madera
949,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,construccion: empresas, ,44411,,,0,0,mazariegos obras y contratos s.l.,madera
962,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,reparaciones del hogar, ,44411,,,0,0,reparalia,madera
965,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44411_madera.csv,PALENCIA,madera: almacenes, ,44411,,,0,0,tableros sanz,madera
997,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_puertasdegaraje.csv,PALENCIA,puertas automaticas, ,44419,,,0,0,benadoor s.l.,puertasdegaraje
998,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_puertasdegaraje.csv,PALENCIA,reformas en general, ,44419,,,0,0,buenos dias buenas noches,puertasdegaraje
1004,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_puertasdegaraje.csv,PALENCIA,puertas automaticas, ,44419,,,0,0,hormann espana,puertasdegaraje
1006,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_puertasdegaraje.csv,PALENCIA,puertas: fabricantes y mayoristas, ,44419,,,0,0,manusa,puertasdegaraje
1010,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_puertasdegaraje.csv,PALENCIA,reparaciones del hogar, ,44419,,,0,0,reparalia,puertasdegaraje
1018,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45299_imprentas.csv,PALENCIA,etiquetas: fabricantes y mayoristas, ,45299,,,0,0,etiquetas rapidas s.l.,imprentas
1019,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45299_imprentas.csv,PALENCIA,etiquetas: fabricantes y mayoristas, ,45299,,,0,0,graficas varias s.a.,imprentas
1022,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45299_imprentas.csv,PALENCIA,artes graficas, ,45299,,,0,0,grafolid artes graficas,imprentas
1037,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_supermercados.csv,PALENCIA,centros comerciales y grandes almacenes, ,44511,,,0,0,el corte ingles,supermercados
1041,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44511_supermercados.csv,PALENCIA,centros comerciales y grandes almacenes, ,44511,,,0,0,hipercor,supermercados
1063,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_ladrillos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,curieses,ladrillos
1064,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_ladrillos.csv,PALENCIA,hormigon: prefabricados, ,44419,,,0,0,jose isidro torres,ladrillos
1065,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_ladrillos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion alejandro rodriguez,ladrillos
1066,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44419_ladrillos.csv,PALENCIA,"construccion, materiales: almacenes", ,44419,,,0,0,materiales de construccion jesus,ladrillos
1075,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_piscinas.csv,PALENCIA,ventilacion y climatizacion industrial, ,45399,,,0,0,novatub s.l.,piscinas
1078,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_piscinas.csv,PALENCIA,piscinas municipales,palencia,45399,34005,"el sotillo, s",0,0,piscinas municipales el sotillo,piscinas
1097,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44815.csv,PALENCIA,centros comerciales y grandes almacenes, ,44815,,,0,0,el corte ingles,
1103,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44311_aparatos electronicos.csv,PALENCIA,puertas: fabricantes y mayoristas, ,44311,,,0,0,manusa,aparatoselectronicos
1106,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44311_aparatos electronicos.csv,PALENCIA,seguridad y vigilancia: empresas, ,44311,,,0,0,seguridad integral secoex s.a.,aparatoselectronicos
1107,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44311_aparatos electronicos.csv,PALENCIA,acumuladores electricos: fabricantes y mayoristas, ,44311,,,0,0,tecnibat group,aparatoselectronicos
1109,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_toldos.csv,PALENCIA,plastico para la industria, ,45399,,,0,0,coplasem,toldos
1114,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_toldos.csv,PALENCIA,reparaciones del hogar,palencia,45399,,,0,0,reparalia,toldos
1117,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45399_toldos.csv,PALENCIA,toldos: fabricacion e instalacion, ,45399,,,0,0,toldos mediavilla,toldos
1124,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44619_dietetica.csv,PALENCIA,farmacias, ,44619,,,0,0,farmacia ortopedia pablo coupeau,dietetica
1127,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_44619_dietetica.csv,PALENCIA,ecologia: productos, ,44619,,,0,0,industria navarra de confiteria,dietetica
1141,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,recuerdos tipicos: establecimientos,ingenio (gran canaria),45322,35250,"dr. jimenez diaz, 38",0,0,ceferino sanchez hernandez,tiendasderecuerdos
1142,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,guias turisticos e interpretes,gobiendes,45322,33342,"calle antiguas escuelas de gobiendes, 0, s",0,0,centro de interpretacion de la sierra del sueve,tiendasderecuerdos
1146,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,recuerdos tipicos: establecimientos,nueva andalucia,45322,29660,"c. com. cristamar, s",0,0,de aqui a la vejez s.l.,tiendasderecuerdos
1151,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,estaciones de servicio y areas de servicio,barro,45322,36000,"calle san mauro, 0, , s",0,0,estacion de servicio curro,tiendasderecuerdos
1181,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,recuerdos tipicos: establecimientos,irun,45322,20305,"nuevo complejo behobia, 3",0,0,miguel angel de las heras asensio,tiendasderecuerdos
1187,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,estaciones de servicio y areas de servicio,arona (tenerife),45322,38632,"carretera comarcal guaza - las galletas, km 2",0,0,repfraile sl,tiendasderecuerdos
1194,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,recuerdos tipicos: establecimientos,montserrat,45322,46192,"pol. trece, 1412",0,0,souvenir valentia,tiendasderecuerdos
1199,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45322_tiendasderecuerdos.csv,PALENCIA,recuerdos tipicos: establecimientos,puerto rico,45322,35130,"c. com. europa, s",0,0,tienda tokio,tiendasderecuerdos
1233,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45421.csv,PALENCIA,ascensores y montacargas: instalacion y reparacion, ,45421,,,0,0,eleser,
1249,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45421.csv,PALENCIA,gruas camion y moviles: servicios,palencia,45421,34004,"cno. viejo magaz, s",0,0,gruas industriales palencia s.l.,
1251,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45421.csv,PALENCIA,carretillas elevadoras: venta y alquiler, ,45421,,,0,0,hispaman,
1270,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45421.csv,PALENCIA,maquinas expendedoras automaticas,palencia,45421,34004,"los orfebres (pol. ind. san antolin), 130",0,0,maquinas expendedoras de palencia,
1272,./CYL/DESCARGAS CATCHAPAGE PALENCIA/PALENCIA_45421.csv,PALENCIA,"construccion, materiales: almacenes", ,45421,,,0,0,materiales de construccion alejandro rodriguez,
