i,archivo,busqueda,categoria_web,ciudad,clase,cp,direccion,latitud,longitud,nombre,subclase
10338,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44422_Valladolid_semillasplantasarboles.csv,VALLADOLID,fertilizantes y abonos, ,44422,,,0,0,agroserv,valladolidsemillasplantasarboles
10342,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44422_Valladolid_semillasplantasarboles.csv,VALLADOLID,jardineria: servicios, ,44422,,,0,0,campo ciudad,valladolidsemillasplantasarboles
10344,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44422_Valladolid_semillasplantasarboles.csv,VALLADOLID,semillas,valladolid,44422,47014,"ctra. burgos-portugal, 117",0,0,ecosem,valladolidsemillasplantasarboles
10350,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44422_Valladolid_semillasplantasarboles.csv,VALLADOLID,semillas y bulbos, ,44422,,,0,0,semillas columbia,valladolidsemillasplantasarboles
10401,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,carpinteria de aluminio, ,44419,,,0,0,alusan,valladolidcristales
10403,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,envases de plastico, ,44419,,,0,0,arcas envases plasticos,valladolidcristales
10408,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,cristalerias para vehiculos,valladolid,44419,47007,"ctra. esperanza, 83",0,0,carglass valladolid 2,valladolidcristales
10431,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,excavaciones y movimiento de tierras, ,44419,,,0,0,estruduero,valladolidcristales
10434,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,puertas automaticas, ,44419,,,0,0,hormann espana,valladolidcristales
10436,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,"cerrajeros, cerrajerias y cerraduras",valladolid,44419,,,0,0,jbc reparaciones,valladolidcristales
10441,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,plastico articulos: fabricantes y mayoristas, ,44419,,,0,0,metacrilatoonline,valladolidcristales
10444,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,plastico articulos: fabricantes y mayoristas, ,44419,,,0,0,plasticos ferplast s.l.,valladolidcristales
10450,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,"cerrajeros, cerrajerias y cerraduras", ,44419,,,0,0,reparalia,valladolidcristales
10455,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,"cerrajeros, cerrajerias y cerraduras",valladolid,44419,,,0,0,solucionamos reparaciones inmediatas,valladolidcristales
10460,./CYL/DESCARGAS CATCHAPAGE VALLADOLID/44419_Valladolid_cristales.csv,VALLADOLID,"cerrajeros, cerrajerias y cerraduras",valladolid,44419,,,0,0,yavoi reparaciones,valladolidcristales
10466,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44313_fotografia.csv,SALAMANCA,fotografia: estudios,salamanca,44313,37001,"pje. azafranal, 18",0,0,eduardo nuca estudio,fotografia
10534,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44512_frutossecos.csv,SALAMANCA,frutos secos: fabricantes y mayoristas, ,44512,,,0,0,frutos secos - golosinas - matutano,frutossecos
10546,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44611.csv,SALAMANCA,farmacias,salamanca,44611,,,0,0,farmacia - optica - audifonos liceo. dr. amador felipe,
10624,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_pancartas.csv,SALAMANCA,banderas y mastiles, ,45399,,,0,0,banderas aap,pancartas
10638,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_madera.csv,SALAMANCA,"cerrajeros, cerrajerias y cerraduras", ,44411,,,0,0,cerrajeria luengo,madera
10640,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_madera.csv,SALAMANCA,madera: almacenes, ,44411,,,0,0,costina,madera
10655,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_madera.csv,SALAMANCA,muebles de madera: fabricantes y mayoristas,salamanca,44411,37008,"pol. montalvo, parc. 164",0,0,marroqui,madera
10665,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_madera.csv,SALAMANCA,puertas de madera, ,44411,,,0,0,pasabe - pablo sanchez benito,madera
10670,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44411_madera.csv,SALAMANCA,madera: almacenes, ,44411,,,0,0,tableros sanz,madera
10704,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44831.csv,SALAMANCA,joyerias, ,44831,,,0,0,joyeria ramos,
10722,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44831.csv,SALAMANCA,joyerias,salamanca,44831,,,0,0,perodri joyeros,
10744,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_lapidas.csv,SALAMANCA,marmoles y granitos: trabajos, ,45399,,,0,0,construcciones y granitos merchan s.l.,lapidas
10747,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_lapidas.csv,SALAMANCA,marmoles y granitos: trabajos, ,45399,,,0,0,marmoles sahagun s.l.,lapidas
10750,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_lapidas.csv,SALAMANCA,funerarias: servicios, ,45399,,,0,0,servicios funerarios virgen del carmen,lapidas
10753,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_toldos.csv,SALAMANCA,plastico para la industria, ,45399,,,0,0,coplasem,toldos
10756,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_toldos.csv,SALAMANCA,"cerrajeros, cerrajerias y cerraduras",salamanca,45399,,,0,0,reparalia,toldos
10757,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_toldos.csv,SALAMANCA,toldos: fabricacion e instalacion,salamanca,45399,37008,"arribes del duero (pol. ind. montalvo ii), 32",0,0,s monita pulido s. a.,toldos
10758,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45399_toldos.csv,SALAMANCA,toldos: fabricacion e instalacion,salamanca,45399,37008,"arribes del duero (pol. ind. montalvo ii), 94",0,0,s. monita,toldos
10760,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44419_suelosceramicos.csv,SALAMANCA,calefaccion: materiales, ,44419,,,0,0,alcasa castilla,suelosceramicos
10771,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44311_tiendaselectrodomesticos.csv,SALAMANCA,muebles de cocina: establecimientos,salamanca,44311,37004,"p.º estacion, 151",0,0,cocina 10,tiendaselectrodomesticos
10786,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45299_repuestosdecoches.csv,SALAMANCA,chatarras y escorias, ,45299,,,0,0,arcediano recuperaciones,repuestosdecoches
10792,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45299_repuestosdecoches.csv,SALAMANCA,desguaces de vehiculos y maquinaria, ,45299,,,0,0,desguace don ocasion,repuestosdecoches
10803,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45291.csv,SALAMANCA,centros comerciales y grandes almacenes, ,45291,,,0,0,el corte ingles,
10806,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45291.csv,SALAMANCA,centros comerciales y grandes almacenes, ,45291,,,0,0,hipercor,
10810,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45291.csv,SALAMANCA,grandes almacenes,salamanca,45291,37007,"ctra. vitigudino, km 7,0",0,0,union detallistas espanoles sociedad cooperativa,
10811,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45121.csv,SALAMANCA,librerias,salamanca,45121,37008,"mtro. tarrega, 11",0,0,alberti,
10875,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44523.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44523,,,0,0,hipercor,
10896,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511.csv,SALAMANCA,supermercados e hipermercados,salamanca,44511,37008,"joaquin rodrigo, s",0,0,distribuidora internacional de alimentacion s.a.,
10908,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44511,,,0,0,el corte ingles,
10911,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44511.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44511,,,0,0,hipercor,
10918,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44221.csv,SALAMANCA,pavimentos de goma y de linoleo, ,44221,,,0,0,aldeco,
10919,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44221.csv,SALAMANCA,impermeabilizaciones, ,44221,,,0,0,lotum s.a.,
10951,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45321.csv,SALAMANCA,librerias,salamanca,45321,37008,"mtro. tarrega, 11",0,0,alberti,
10964,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44521.csv,SALAMANCA,carnicerias,salamanca,44521,37008,"arribes del duero (pol. ind. montalvo ii), 22",0,0,carnicas bieco,
10967,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44521.csv,SALAMANCA,carnicerias,salamanca,44521,37007,"ctra. vitigudino, km 1,1",0,0,carnicas camba dos s.l.,
11005,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44521.csv,SALAMANCA,carnicerias,salamanca,44521,37005,"mercado san juan, 32",0,0,embutidos y especies la encina,
11018,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44521.csv,SALAMANCA,centros comerciales y grandes almacenes, ,44521,,,0,0,hipercor,
11020,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44521.csv,SALAMANCA,carnicerias,salamanca,44521,37001,"desvio distante, s",0,0,ibeericos rubio escribano sl.,
11052,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44229_articuloscocina.csv,SALAMANCA,ferreterias, ,44229,,,0,0,comercial de ferreteria villamor,articuloscocina
11067,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_45391.csv,SALAMANCA,piensos: fabricantes y mayoristas, ,45391,,,0,0,piensos sajesa anciones,
11078,./CYL/DESCARGAS CATCHAPAGE SALAMANCA/Salamanca_44812.csv,SALAMANCA,boutiques de senora,salamanca,44812,,,0,0,blanca,
